,Unnamed: 0,title,genre,rating,views,year,duration
407,22853,The Man with the Golden Arm,Crime,7.3,13199,1955,119
408,22861,Marty,Drama,7.6,29785,1955,90
409,22876,Mister Roberts,Comedy,7.6,19420,1955,123
410,22913,The Night of the Hunter,Crime,8.0,106244,1955,92
411,22928,Oklahoma!,Drama,7.0,15479,1955,145
412,22931,Ordet,Drama,8.2,18690,1955,126
413,22947,Pather Panchali,Drama,8.2,41096,1955,125
414,22962,Picnic,Drama,7.0,10537,1955,115
415,23003,Rebel Without a Cause,Drama,7.6,102403,1955,111
416,23050,The Seven Year Itch,Comedy,7.0,45634,1955,105
417,23068,Sissi,Comedy,7.0,10938,1955,102
418,23080,Smiles of a Summer Night,Comedy,7.7,15558,1955,109
419,23103,Summertime,Drama,7.1,11147,1955,100
420,23119,Tarantula,Horror,6.4,11741,1955,80
421,23142,To Catch a Thief,Drama,7.4,85625,1955,106
422,23158,The Trouble with Harry,Comedy,7.0,43727,1955,99
423,23195,We're No Angels,Comedy,7.4,11827,1955,106
424,23246,Anastasia,Biography,7.0,10110,1956,105
425,23253,The Unvanquished,Drama,8.2,18983,1956,110
426,23255,Around the World in 80 Days,Adventure,6.7,31522,1956,175
427,23266,The Bad Seed,Drama,7.4,17536,1956,129
428,23316,Bus Stop,Comedy,6.3,13451,1956,96
429,23358,The Court Jester,Adventure,7.8,14877,1955,101
430,23437,...And God Created Woman,Drama,6.3,10310,1956,90
431,23463,Forbidden Planet,Adventure,7.5,56604,1956,98
432,23493,Giant,Drama,7.6,44684,1956,201
433,23520,The Harder They Fall,Drama,7.5,10123,1956,109
434,23537,High Society,Comedy,6.9,18843,1956,111
435,23571,Invasion of the Body Snatchers,Drama,7.7,58958,1956,80
436,23606,The Killing,Crime,7.9,104550,1956,84
437,23608,The King and I,Biography,7.4,29231,1956,133
438,23648,Lust for Life,Biography,7.3,13104,1956,122
439,23659,The Man Who Knew Too Much,Crime,7.4,75066,1956,120
440,23694,Moby Dick,Adventure,7.3,23715,1956,116
441,23859,The Searchers,Adventure,7.8,102487,1956,119
442,23942,The Ten Commandments,Adventure,7.9,82925,1956,220
443,23992,A Man Escaped,Drama,8.1,30221,1956,101
444,24017,War and Peace,Drama,6.7,11530,1956,208
445,24042,Written on the Wind,Drama,7.3,14525,1956,99
446,24067,12 Angry Men,Crime,9.0,965506,1957,96
447,24070,3:10 to Yuma,Adventure,7.6,23483,1957,92
448,24087,An Affair to Remember,Drama,7.4,35370,1957,115
449,24154,Mother India,Action,7.8,10324,1957,172
450,24173,The Bridge on the River Kwai,Adventure,8.1,246548,1957,161
